Date,Origin,Destination,Airline,Price
2025-04-13,ICN,NRT,제주항공,377200
2025-04-13,ICN,NRT,아시아나항공,421500
2025-04-13,ICN,NRT,에어부산,430014
2025-04-14,ICN,NRT,에어프레미아,338629
2025-04-14,ICN,NRT,에어서울,385300
2025-04-14,ICN,NRT,제주항공,412200
2025-04-15,ICN,NRT,이스타항공,265725
2025-04-15,ICN,NRT,제주항공,267100
2025-04-15,ICN,NRT,에어서울,300300
2025-04-16,ICN,NRT,에어서울,340300
2025-04-16,ICN,NRT,에어프레미아,345111
2025-04-16,ICN,NRT,진에어,383100
2025-04-17,ICN,NRT,제주항공,272199
2025-04-17,ICN,NRT,에어부산,281921
2025-04-17,ICN,NRT,에어서울,340300
2025-04-18,ICN,NRT,에어부산,235300
2025-04-18,ICN,NRT,제주항공,292100
2025-04-18,ICN,NRT,에어서울,305300
2025-04-18,ICN,NRT,에어프레미아,311084
2025-04-19,ICN,NRT,에어부산,205300
2025-04-19,ICN,NRT,제주항공,238180
2025-04-19,ICN,NRT,에어프레미아,263500
2025-04-19,ICN,NRT,에어서울,265300
2025-04-20,ICN,NRT,제주항공,327100
2025-04-20,ICN,NRT,에어프레미아,353216
2025-04-20,ICN,NRT,에어서울,385300
2025-04-21,ICN,NRT,제주항공,340256
2025-04-21,ICN,NRT,에어부산,355300
2025-04-21,ICN,NRT,에어프레미아,393724
2025-04-22,ICN,NRT,에어부산,295300
2025-04-22,ICN,NRT,제주항공,330536
2025-04-22,ICN,NRT,에어서울,360300
2025-04-23,ICN,NRT,에어부산,315300
2025-04-23,ICN,NRT,티웨이항공,351599
2025-04-23,ICN,NRT,에어프레미아,353500
2025-04-23,ICN,NRT,에어서울,360300
2025-04-24,ICN,NRT,에어부산,306226
2025-04-24,ICN,NRT,진에어,341871
2025-04-24,ICN,NRT,에어서울,355300
2025-04-25,ICN,NRT,에어부산,225300
2025-04-25,ICN,NRT,제주항공,265722
2025-04-25,ICN,NRT,에어서울,290300
2025-04-25,ICN,NRT,Air Japan,295200
2025-04-26,ICN,NRT,에어부산,215300
2025-04-26,ICN,NRT,이스타항공,225215
2025-04-26,ICN,NRT,제주항공,234937
2025-04-26,ICN,NRT,Air Japan,238700
2025-04-26,ICN,NRT,에어서울,240300
2025-04-27,ICN,NRT,에어부산,185300
2025-04-27,ICN,NRT,티웨이항공,217114
2025-04-27,ICN,NRT,에티오피아항공,225215
2025-04-28,ICN,NRT,진에어대한항공,260861
2025-04-28,ICN,NRT,에어서울,270300
2025-04-28,ICN,NRT,에어프레미아,273500
2025-04-29,ICN,NRT,진에어대한항공,348355
2025-04-29,ICN,NRT,에어서울,360300
2025-04-29,ICN,NRT,아시아나항공전일본공수,384000
2025-04-30,ICN,NRT,에어부산,327291
2025-04-30,ICN,NRT,에어서울,405300
2025-04-30,ICN,NRT,아시아나항공전일본공수,408304
2025-05-01,ICN,NRT,제주항공,528206
2025-05-01,ICN,NRT,제주항공,549270
2025-05-01,ICN,NRT,티웨이항공,580051
2025-05-01,ICN,NRT,진에어,599494
2025-05-01,ICN,NRT,에어서울,625300
2025-05-02,ICN,NRT,에어서울,680055
2025-05-02,ICN,NRT,에어프레미아,695088
2025-05-02,ICN,NRT,아시아나항공전일본공수,787500
2025-05-03,ICN,NRT,티웨이항공,484455
2025-05-03,ICN,NRT,아시아나항공,518480
2025-05-03,ICN,NRT,에어서울,540300
2025-05-03,ICN,NRT,Air Japan,560400
2025-05-03,ICN,NRT,에어프레미아,618000
2025-05-04,ICN,NRT,제주항공,314333
2025-05-04,ICN,NRT,에어프레미아,343500
2025-05-04,ICN,NRT,에어서울,350300
2025-05-05,ICN,NRT,에어부산,305300
2025-05-05,ICN,NRT,진에어,308100
2025-05-05,ICN,NRT,에어프레미아,323500
2025-05-06,ICN,NRT,에어부산,345300
2025-05-06,ICN,NRT,제주항공,354839
2025-05-06,ICN,NRT,에어서울,370300
2025-05-07,ICN,NRT,에어부산,295300
2025-05-07,ICN,NRT,에어서울,330300
2025-05-07,ICN,NRT,에어프레미아,333500
2025-05-07,ICN,NRT,아시아나항공전일본공수,335388
2025-05-08,ICN,NRT,제주항공,237100
2025-05-08,ICN,NRT,티웨이항공,247895
2025-05-08,ICN,NRT,진에어,258100
2025-05-08,ICN,NRT,에어서울,265300
2025-05-08,ICN,NRT,에어프레미아,273500
2025-05-09,ICN,NRT,제주항공,217100
2025-05-09,ICN,NRT,티웨이항공,238182
2025-05-09,ICN,NRT,에어서울,250300
2025-05-10,ICN,NRT,제주항공,202100
2025-05-10,ICN,NRT,에어프레미아,213500
2025-05-10,ICN,NRT,에어서울,225300
2025-05-11,ICN,NRT,에어부산,215300
2025-05-11,ICN,NRT,에어서울,220300
2025-05-11,ICN,NRT,에어프레미아,223500
2025-05-12,ICN,NRT,에어프레미아,233500
2025-05-12,ICN,NRT,제주항공,247100
2025-05-12,ICN,NRT,진에어대한항공,258100
2025-05-12,ICN,NRT,에어부산,260865
2025-05-12,ICN,NRT,에어서울,265300
2025-05-13,ICN,NRT,에어부산,197672
2025-05-13,ICN,NRT,제주항공,202100
2025-05-13,ICN,NRT,에어서울,220300
2025-05-14,ICN,NRT,제주항공,242100
2025-05-14,ICN,NRT,에어부산,245300
2025-05-14,ICN,NRT,에어서울,245300
2025-05-14,ICN,NRT,진에어,248100
2025-05-14,ICN,NRT,Air Japan,250000
2025-05-15,ICN,NRT,진에어,258100
2025-05-15,ICN,NRT,제주항공,259240
2025-05-15,ICN,NRT,에어프레미아,273500
2025-05-16,ICN,NRT,제주항공,237100
2025-05-16,ICN,NRT,Air Japan,261300
2025-05-16,ICN,NRT,에어부산,265300
2025-05-16,ICN,NRT,에어서울,265300
2025-05-16,ICN,NRT,에어프레미아,280300
2025-05-17,ICN,NRT,진에어,226830
2025-05-17,ICN,NRT,에어서울,240300
2025-05-17,ICN,NRT,에어프레미아,253500
2025-05-18,ICN,NRT,에어프레미아,233500
2025-05-18,ICN,NRT,에어서울,250300
2025-05-18,ICN,NRT,진에어대한항공,254375
2025-05-19,ICN,NRT,진에어대한항공,241423
2025-05-19,ICN,NRT,티웨이항공,244663
2025-05-19,ICN,NRT,제주항공,247100
2025-05-19,ICN,NRT,에어프레미아,253500
2025-05-19,ICN,NRT,에어서울,265300
2025-05-20,ICN,NRT,에어서울,205300
2025-05-20,ICN,NRT,제주항공,237100
2025-05-20,ICN,NRT,티웨이항공,238181
2025-05-20,ICN,NRT,진에어대한항공,247903
2025-05-21,ICN,NRT,에어부산,205300
2025-05-21,ICN,NRT,에어프레미아,233500
2025-05-21,ICN,NRT,진에어,238100
2025-05-21,ICN,NRT,티웨이항공,243043
2025-05-22,ICN,NRT,제주항공,247100
2025-05-22,ICN,NRT,에어부산,265300
2025-05-22,ICN,NRT,에어프레미아,273500
2025-05-22,ICN,NRT,에어서울,280300
2025-05-23,ICN,NRT,에어부산,235300
2025-05-23,ICN,NRT,제주항공,247100
2025-05-23,ICN,NRT,에어서울,250300
2025-05-23,ICN,NRT,티웨이항공,257616
2025-05-24,ICN,NRT,에어프레미아,243500
2025-05-24,ICN,NRT,에어부산,245300
2025-05-24,ICN,NRT,에어서울,255300
2025-05-25,ICN,NRT,에어부산,205300
2025-05-25,ICN,NRT,진에어,218100
2025-05-25,ICN,NRT,에어프레미아,223500
2025-05-25,ICN,NRT,에어서울,235300
2025-05-26,ICN,NRT,에어프레미아,203500
2025-05-26,ICN,NRT,제주항공,207100
2025-05-26,ICN,NRT,에어부산,212249
2025-05-26,ICN,NRT,에어서울,225300
2025-05-27,ICN,NRT,에어서울,215300
2025-05-27,ICN,NRT,제주항공,217100
2025-05-27,ICN,NRT,티웨이항공,223593
2025-05-28,ICN,NRT,에어부산,225300
2025-05-28,ICN,NRT,진에어,233100
2025-05-28,ICN,NRT,제주항공,237100
2025-05-28,ICN,NRT,에어프레미아,253500
2025-05-29,ICN,NRT,에어프레미아,233500
2025-05-29,ICN,NRT,제주항공,237100
2025-05-29,ICN,NRT,진에어,238100
2025-05-29,ICN,NRT,Air Japan,238700
2025-05-30,ICN,NRT,Air Japan,261300
2025-05-30,ICN,NRT,제주항공,277100
2025-05-30,ICN,NRT,에어프레미아,306229
2025-05-31,ICN,NRT,에어부산,235300
2025-05-31,ICN,NRT,에어프레미아,253500
2025-05-31,ICN,NRT,Air Japan,261300
2025-06-01,ICN,NRT,제주항공,237100
2025-06-01,ICN,NRT,진에어대한항공,238100
2025-06-01,ICN,NRT,에어프레미아,253500
2025-06-02,ICN,NRT,진에어대한항공,223100
2025-06-02,ICN,NRT,에어프레미아,233500
2025-06-02,ICN,NRT,제주항공,237100
2025-06-02,ICN,NRT,티웨이항공,247897
2025-06-03,ICN,NRT,제주항공,292100
2025-06-03,ICN,NRT,진에어,313100
2025-06-03,ICN,NRT,티웨이항공,319193
2025-06-04,ICN,NRT,에어프레미아,323500
2025-06-04,ICN,NRT,Air Japan,340600
